iter	Passed	Remaining
0	138	137891
1	139	69404
2	140	46605
3	141	35205
4	148	29492
5	149	24838
6	151	21488
7	152	18953
8	154	16992
9	156	15541
10	159	14314
11	160	13222
12	161	12282
13	162	11467
14	163	10755
15	164	10139
16	166	9605
17	167	9118
18	168	8705
19	170	8366
20	171	8017
21	173	7707
22	175	7437
23	178	7245
24	181	7093
25	185	6967
26	187	6757
27	189	6562
28	190	6375
29	192	6216
30	194	6072
31	196	5937
32	199	5850
33	204	5801
34	205	5674
35	207	5561
36	216	5631
37	218	5539
38	220	5429
39	222	5336
40	224	5244
41	226	5165
42	230	5121
43	232	5046
44	233	4962
45	235	4874
46	237	4818
47	239	4740
48	246	4781
49	247	4701
50	248	4624
51	249	4552
52	250	4482
53	252	4417
54	253	4353
55	255	4305
56	257	4263
57	262	4255
58	264	4219
59	265	4162
60	266	4105
61	267	4049
62	273	4071
63	275	4029
64	276	3980
65	278	3935
66	279	3892
67	280	3847
68	281	3801
69	282	3758
70	284	3725
71	287	3705
72	289	3678
73	290	3636
74	292	3602
75	293	3564
76	294	3526
77	295	3491
78	296	3456
79	297	3420
80	298	3391
81	300	3369
82	301	3335
83	303	3304
84	304	3276
85	305	3247
86	306	3217
87	307	3186
88	308	3159
89	309	3131
90	310	3103
91	311	3075
92	313	3061
93	318	3069
94	320	3052
95	321	3029
96	323	3010
97	324	2986
98	325	2963
99	326	2941
100	328	2927
101	332	2930
102	334	2915
103	335	2894
104	337	2873
105	338	2852
106	339	2832
107	340	2812
108	341	2792
109	343	2782
110	345	2770
111	347	2755
112	348	2736
113	349	2719
114	351	2702
115	352	2685
116	353	2667
117	354	2650
118	355	2633
119	357	2622
120	359	2614
121	361	2601
122	362	2587
123	364	2575
124	365	2561
125	367	2547
126	368	2530
127	370	2521
128	378	2553
129	380	2543
130	381	2531
131	383	2519
132	384	2506
133	385	2493
134	391	2511
135	393	2502
136	395	2492
137	397	2483
138	399	2472
139	400	2461
140	412	2514
141	413	2500
142	415	2489
143	416	2477
144	428	2525
145	429	2513
146	431	2503
147	432	2491
148	436	2495
149	438	2486
150	440	2475
151	442	2466
152	443	2454
153	444	2442
154	449	2452
155	452	2446
156	453	2435
157	455	2426
158	457	2417
159	458	2406
160	459	2393
161	460	2383
162	466	2393
163	468	2386
164	469	2376
165	471	2367
166	472	2358
167	474	2351
168	480	2362
169	483	2360
170	485	2352
171	486	2342
172	487	2332
173	489	2321
174	490	2311
175	497	2327
176	498	2319
177	501	2316
178	503	2308
179	504	2298
180	505	2289
181	508	2287
182	510	2279
183	512	2272
184	514	2266
185	516	2261
186	521	2268
187	524	2265
188	526	2260
189	528	2254
190	530	2246
191	532	2239
192	537	2247
193	540	2244
194	541	2235
195	542	2227
196	546	2228
197	548	2221
198	556	2238
199	558	2233
200	563	2240
201	566	2238
202	567	2229
203	569	2220
204	570	2212
205	573	2210
206	590	2261
207	594	2262
208	597	2261
209	598	2252
210	600	2245
211	602	2240
212	604	2234
213	611	2247
214	615	2248
215	621	2257
216	626	2260
217	632	2269
218	635	2267
219	641	2272
220	644	2270
221	646	2264
222	648	2259
223	650	2252
224	654	2255
225	656	2249
226	659	2244
227	663	2245
228	670	2258
229	674	2258
230	676	2250
231	689	2281
232	692	2278
233	694	2273
234	696	2268
235	703	2277
236	706	2274
237	710	2275
238	715	2278
239	720	2283
240	723	2277
241	725	2271
242	727	2264
243	730	2264
244	733	2259
245	735	2253
246	737	2247
247	739	2241
248	740	2234
249	748	2246
250	755	2253
251	756	2246
252	759	2243
253	763	2241
254	765	2235
255	768	2232
256	770	2227
257	772	2221
258	774	2214
259	775	2207
260	777	2200
261	778	2193
262	781	2189
263	809	2257
264	812	2253
265	814	2248
266	818	2246
267	820	2241
268	822	2235
269	824	2228
270	825	2220
271	829	2219
272	833	2220
273	835	2213
274	836	2205
275	838	2199
276	839	2191
277	841	2185
278	842	2178
279	844	2171
280	849	2174
281	851	2168
282	853	2161
283	854	2154
284	855	2147
285	857	2141
286	859	2135
287	866	2141
288	867	2135
289	869	2128
290	871	2122
291	872	2115
292	874	2109
293	880	2114
294	882	2107
295	883	2101
296	884	2093
297	885	2086
298	886	2079
299	887	2071
300	889	2065
301	890	2057
302	892	2052
303	895	2049
304	896	2042
305	897	2036
306	899	2029
307	900	2023
308	901	2016
309	902	2009
310	904	2003
311	910	2006
312	911	2000
313	912	1993
314	913	1987
315	915	1980
316	916	1974
317	917	1968
318	919	1963
319	924	1963
320	925	1958
321	927	1952
322	928	1946
323	930	1942
324	932	1936
325	933	1930
326	934	1924
327	940	1926
328	942	1921
329	943	1914
330	944	1908
331	945	1903
332	947	1897
333	948	1891
334	950	1885
335	952	1881
336	956	1881
337	957	1875
338	958	1869
339	959	1863
340	961	1857
341	962	1851
342	963	1845
343	964	1839
344	968	1838
345	970	1834
346	972	1829
347	973	1823
348	974	1816
349	975	1811
350	976	1805
351	977	1799
352	979	1794
353	980	1788
354	982	1784
355	984	1781
356	986	1776
357	987	1770
358	988	1765
359	990	1760
360	991	1755
361	992	1749
362	993	1744
363	996	1740
364	999	1739
365	1000	1733
366	1001	1728
367	1003	1722
368	1004	1717
369	1005	1712
370	1006	1707
371	1008	1701
372	1010	1699
373	1012	1695
374	1013	1689
375	1014	1684
376	1016	1679
377	1017	1674
378	1019	1669
379	1020	1664
380	1021	1659
381	1022	1654
382	1029	1658
383	1030	1653
384	1032	1649
385	1034	1645
386	1035	1640
387	1036	1635
388	1037	1630
389	1044	1633
390	1045	1629
391	1047	1624
392	1048	1619
393	1049	1614
394	1050	1609
395	1051	1604
396	1052	1599
397	1057	1600
398	1059	1595
399	1061	1592
400	1062	1587
401	1064	1583
402	1066	1579
403	1067	1574
404	1069	1571
405	1072	1568
406	1073	1564
407	1074	1559
408	1076	1554
409	1077	1550
410	1078	1545
411	1079	1540
412	1080	1536
413	1081	1531
414	1082	1526
415	1084	1522
416	1087	1520
417	1088	1516
418	1090	1511
419	1091	1506
420	1091	1501
421	1093	1497
422	1094	1492
423	1095	1488
424	1096	1483
425	1100	1482
426	1102	1479
427	1104	1475
428	1106	1472
429	1107	1468
430	1109	1464
431	1110	1460
432	1112	1456
433	1115	1455
434	1118	1452
435	1119	1447
436	1120	1443
437	1121	1439
438	1123	1436
439	1125	1431
440	1126	1427
441	1128	1424
442	1131	1423
443	1134	1421
444	1136	1416
445	1137	1412
446	1139	1409
447	1140	1405
448	1141	1401
449	1147	1402
450	1149	1398
451	1150	1394
452	1151	1390
453	1152	1386
454	1154	1382
455	1155	1378
456	1156	1374
457	1167	1381
458	1234	1454
459	1237	1452
460	1250	1462
461	1252	1458
462	1253	1454
463	1255	1450
464	1258	1448
465	1261	1445
466	1263	1441
467	1264	1437
468	1266	1433
469	1267	1429
470	1269	1425
471	1281	1433
472	1283	1429
473	1284	1425
474	1288	1424
475	1294	1424
476	1295	1420
477	1296	1416
478	1298	1411
479	1299	1407
480	1300	1403
481	1301	1398
482	1304	1395
483	1305	1392
484	1307	1388
